# Title: August 2025 Contiguous U.S. County Palmer Modified Drought Index (PMDI)
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,1.73,101,1.9,-0.17
AL-003,Baldwin County,Alabama,-0.66,54,-0.54,-0.12
AL-005,Barbour County,Alabama,0.65,86,0.87,-0.22
AL-007,Bibb County,Alabama,0.3,80,0.46,-0.16
AL-009,Blount County,Alabama,1.12,84,0.98,0.14
AL-011,Bullock County,Alabama,1.72,103,1.89,-0.17
AL-013,Butler County,Alabama,-0.03,80,0.31,-0.34
AL-015,Calhoun County,Alabama,1.96,111,2.03,-0.07
AL-017,Chambers County,Alabama,-0.25,68,-0.08,-0.17
AL-019,Cherokee County,Alabama,0.33,74,0.4,-0.07
AL-021,Chilton County,Alabama,1.75,110,1.96,-0.21
AL-023,Choctaw County,Alabama,0.35,79,0.36,-0.01
AL-025,Clarke County,Alabama,0.11,73,0.32,-0.21
AL-027,Clay County,Alabama,1.56,98,1.53,0.03
AL-029,Cleburne County,Alabama,0.69,79,0.74,-0.05
AL-031,Coffee County,Alabama,1.42,99,1.49,-0.07
AL-033,Colbert County,Alabama,1.08,90,0.93,0.15
AL-035,Conecuh County,Alabama,-1.24,43,-0.89,-0.35
AL-037,Coosa County,Alabama,0.94,91,1.17,-0.23
AL-039,Covington County,Alabama,-0.18,65,0.02,-0.2
AL-041,Crenshaw County,Alabama,1.34,102,1.57,-0.23
AL-043,Cullman County,Alabama,0.73,78,0.65,0.08
AL-045,Dale County,Alabama,0.64,81,0.71,-0.07
AL-047,Dallas County,Alabama,-1.61,39,-1.46,-0.15
AL-049,DeKalb County,Alabama,0.35,73,0.35,-0
AL-051,Elmore County,Alabama,2.83,120,3.1,-0.27
AL-053,Escambia County,Alabama,-1.12,48,-0.93,-0.19
AL-055,Etowah County,Alabama,-0.74,50,-0.82,0.08
AL-057,Fayette County,Alabama,2.17,104,2.04,0.13
AL-059,Franklin County,Alabama,0.96,83,0.85,0.11
AL-061,Geneva County,Alabama,0.78,87,0.84,-0.06
AL-063,Greene County,Alabama,2.78,115,2.79,-0.01
AL-065,Hale County,Alabama,0.23,70,0.32,-0.09
AL-067,Henry County,Alabama,-0.34,68,-0.18,-0.16
AL-069,Houston County,Alabama,-0.68,54,-0.65,-0.03
AL-071,Jackson County,Alabama,0.81,82,0.76,0.05
AL-073,Jefferson County,Alabama,0.14,71,0.08,0.06
AL-075,Lamar County,Alabama,1.61,96,1.57,0.04
AL-077,Lauderdale County,Alabama,0.06,62,-0.09,0.15
AL-079,Lawrence County,Alabama,-0.41,51,-0.58,0.17
AL-081,Lee County,Alabama,-0.79,54,-0.53,-0.26
AL-083,Limestone County,Alabama,-1.18,38,-1.18,-0
AL-085,Lowndes County,Alabama,1.18,89,1.23,-0.05
AL-087,Macon County,Alabama,1.32,95,1.49,-0.17
AL-089,Madison County,Alabama,-1.15,35,-1.13,-0.02
AL-091,Marengo County,Alabama,-0.76,56,-0.66,-0.1
AL-093,Marion County,Alabama,0.69,71,0.58,0.11
AL-095,Marshall County,Alabama,0.59,78,0.51,0.08
AL-097,Mobile County,Alabama,-0.07,62,-0.01,-0.06
AL-099,Monroe County,Alabama,-1.12,51,-0.75,-0.37
